,model,loss,pixel_acc,dice,iou
0,bottom_and_middle_skip_unet.pth,0.2875139588828791,0.9167450056834654,0.5041024977228203,0.4569931218985998
1,base_unet.pth,0.23885329107923264,0.9390265155922283,0.7533337975090201,0.7043506902727213
2,four_blocks_unet.pth,0.4416993214611218,0.9160786040804603,0.6704288931055502,0.6349020312455568
3,no_skip_unet.pth,0.36593227901242,0.9006485072049227,0.5852272727273529,0.5852272727273529
4,one_block_more_capacity_unet.pth,0.2658321318978613,0.9085926576094194,0.3457376101005564,0.3111648060502057
5,one_block_unet.pth,0.29926151274280116,0.912738713351163,0.4773476179689169,0.43109475778923795
6,single_skip_bottom_unet.pth,0.3513874523341656,0.9002260809594934,0.5833333337848837,0.5833333337848837
7,single_skip_first_unet.pth,0.26160692518830975,0.9323256015777588,0.7392531193115495,0.691193553534421
8,single_skip_middle_unet.pth,0.26072028783065354,0.9390569166703657,0.7417311499064619,0.6939888826825402
9,two_blocks_unet.pth,0.30155142341655766,0.9258823476054452,0.598404276100072,0.5464701470495625
10,bottom_to_top_unet.pth,0.30361451585353777,0.92243461988189,0.6783790615471926,0.6438195434483615
11,top_to_bottom_unet.pth,0.3404487026008693,0.9004949805411425,0.5833333337849715,0.5833333337849715
